dataset,rows,unique_accessions,target,numeric_features,categorical_features
wt_regression,858,679,foldx_energy_per_residue,"sequence_length, length, protein_length, theoretical_pi, isoelectric_point, gravy, aromaticity, instability_index, helix_fraction, turn_fraction, sheet_fraction, chain_length, hbond_proxy_count, salt_bridge_count, disulfide_count, sasa_total","structure_branch, organism_type, gh_family, source, foldx_structure_branch"
mutation_ddg_regression,2830,198,foldx_ddg,"sequence_length, length, protein_length, theoretical_pi, isoelectric_point, gravy, aromaticity, instability_index, helix_fraction, sheet_fraction, mutation_position, relative_mutation_position, delta_hydropathy, delta_mass, delta_charge, class_changed, blosum62_score","structure_branch, organism_type, gh_family, source, foldx_structure_branch"
mutation_stability_classification,1682,197,strict_stability_binary,"sequence_length, length, protein_length, theoretical_pi, isoelectric_point, gravy, aromaticity, instability_index, helix_fraction, sheet_fraction, mutation_position, relative_mutation_position, delta_hydropathy, delta_mass, delta_charge, class_changed, blosum62_score","structure_branch, organism_type, gh_family, source, foldx_structure_branch"
