organism_type,gh_family,rows,csv,fasta,txt,has_pdb_true,has_refseq_true
bacterial,GH10,366,/home/ubuntu/xylanase-thesis/data/curated/group_exports/frozen_thesis/bacterial_GH10.csv,/home/ubuntu/xylanase-thesis/data/curated/group_exports/frozen_thesis/bacterial_GH10.fasta,/home/ubuntu/xylanase-thesis/data/curated/group_exports/frozen_thesis/bacterial_GH10.txt,,
bacterial,GH11,127,/home/ubuntu/xylanase-thesis/data/curated/group_exports/frozen_thesis/bacterial_GH11.csv,/home/ubuntu/xylanase-thesis/data/curated/group_exports/frozen_thesis/bacterial_GH11.fasta,/home/ubuntu/xylanase-thesis/data/curated/group_exports/frozen_thesis/bacterial_GH11.txt,,
fungal,GH10,68,/home/ubuntu/xylanase-thesis/data/curated/group_exports/frozen_thesis/fungal_GH10.csv,/home/ubuntu/xylanase-thesis/data/curated/group_exports/frozen_thesis/fungal_GH10.fasta,/home/ubuntu/xylanase-thesis/data/curated/group_exports/frozen_thesis/fungal_GH10.txt,,
fungal,GH11,124,/home/ubuntu/xylanase-thesis/data/curated/group_exports/frozen_thesis/fungal_GH11.csv,/home/ubuntu/xylanase-thesis/data/curated/group_exports/frozen_thesis/fungal_GH11.fasta,/home/ubuntu/xylanase-thesis/data/curated/group_exports/frozen_thesis/fungal_GH11.txt,,
archaea,GH10,5,/home/ubuntu/xylanase-thesis/data/curated/group_exports/frozen_thesis/archaea_GH10.csv,/home/ubuntu/xylanase-thesis/data/curated/group_exports/frozen_thesis/archaea_GH10.fasta,/home/ubuntu/xylanase-thesis/data/curated/group_exports/frozen_thesis/archaea_GH10.txt,,
archaea,GH11,2,/home/ubuntu/xylanase-thesis/data/curated/group_exports/frozen_thesis/archaea_GH11.csv,/home/ubuntu/xylanase-thesis/data/curated/group_exports/frozen_thesis/archaea_GH11.fasta,/home/ubuntu/xylanase-thesis/data/curated/group_exports/frozen_thesis/archaea_GH11.txt,,
